Design_ID,Chassis_Type,Wheel_Configuration,Footprint_Area,Volume_to_Weight_Ratio,Chassis_Weight_Percentage,Power_Density,Power_Efficiency,Energy_Efficiency,Motor_Power_Density,Battery_Energy_Density,Motor_to_Weight_Ratio,Battery_to_Weight_Ratio,Agility_Score,Stability_Factor,Speed_to_Size_Ratio,Wheel_to_Chassis_Ratio,Terrain_Adaptability (ratio),Torque_to_Weight_Ratio,Operational_Endurance,Operational_Range,Control_Responsiveness,Control_Precision,Sensor_Coverage_Ratio,Sensor_Range_Efficiency
1,chassis_hub_12WD_mini,12WD,1750,3.038194444,28.93518519,3.485714286,0.001967213,7.119594595,0.032972973,0.164079823,8.472222222,1157.407407,0.9,0.875,0.36,0.96,0.48,0.177064514,0.1215,1.0537,3529.786891,0.000118519,6.562047683,8.01
10,chassis_hub_4WD_standard,4WD,600,1.769911504,23.59882006,2.583333333,0.001935484,6.86457529,0.035227273,0.170769231,3.657817109,4129.79351,0.745355992,1.111111111,0.1,0.8,0.4,0.15042649,0.638761062,2.13351,1882.553009,0.000122499,69.40686205,83.41666667
100,chassis_hub_8WD_heavy_duty,8WD,1350,2.969543147,33.84094755,2.849002849,0.0038,13.60810811,0.025,0.111213873,6.768189509,219.9661591,0.924484332,0.882352941,0.422222222,1.107692308,0.553846154,0.132746531,0.043979695,0.26182,4792.666201,0.000113475,46.27124137,55.61111111
1000,chassis_hub_8WD_versatile,8WD,1000,2.264150943,28.30188679,4.083333333,0.000612245,1.883207071,0.025789474,0.093176471,7.396226415,415.0943396,0.730296743,0.833333333,0.075,1.2,0.6,0.399667245,0.006520755,0.02983,642.0435415,0.000117647,10.72717855,12.65
10000,chassis_hub_16WD_extreme,16WD,2100,3.03030303,25.25252525,2.142857143,0.000111111,0.351851852,0.023076923,0.086055777,5.194805195,64.93506494,0.33112057,0.760869565,0.016666667,1,0.5,0.577361212,0.00012987,0.00152,171.9521457,0.00011391,8.745761372,10.125
10001,chassis_hub_12WD_mini,12WD,1750,3.28125,31.25,3.142857143,0.000848485,3.070686071,0.02972973,0.111213873,8.25,162.5,0.7,0.875,0.14,0.96,0.48,0.279489525,0.007245,0.05908,1502.739682,0.000119048,41.00255762,50.05
10002,chassis_hub_2WD_mini_robot,2WD,240,2.064516129,32.25806452,0.390625,0,10.64864865,0.027272727,0.111213873,0.64516129,1397.849462,0,0.857142857,0,0.725,0.3625,0.054832882,0,0.20488,4314.183978,6.04E-05,26.04634762,30.375
10003,chassis_hub_2WD_basic,2WD,375,1.094890511,18.24817518,0.783333333,0.131914894,473.3756757,0.085454545,0.176277916,0.686131387,5839.416058,0,1.071428571,1.24,0.75,0.375,0.004294883,61.56328467,168.14304,254929.0532,4.37E-05,13.73703667,16.02
10004,chassis_hub_4WD_compact,4WD,616,2.329411765,37.81512605,0.992063492,0,0.263175676,0.023404255,0.155789474,1.848739496,2521.008403,0,1.1,0,1.111111111,0.555555556,0.576861765,0,0.02337,87.40424683,8.53E-05,11.24716052,14.30357143
10005,chassis_hub_4WD_compact,4WD,616,2.843076923,46.15384615,0.477994228,0,0.441919192,0.005638298,0.088,1.087179487,1128.205128,0,1.1,0,0.744444444,0.372222222,0.482788923,0,0.0035,89.22516864,0.000209998,17.06029967,21.69642857
10006,chassis_hub_2WD_mini,2WD,264,3.911111111,55.55555556,1.183712121,0.1,353.0119048,0.090909091,0.055445545,3.703703704,648.1481481,1.010152545,0.857142857,1.136363636,0.525,0.2625,0.021792556,1.116666667,0.59306,293816.5359,3.86E-05,399.4424857,455
